Xpath,Nome,Definição,Tipo de Dado,Tamanho,Mandatoriedade,Formato,Domínio,Mínimo de Ocorrências,Máximo de Ocorrências,Restrições,Nulidade,Tipo de Dado Json,Exemplo,Tamanho mínimo
/contracts/{contractId}/scheduled-instalments/data/typeNumberOfInstalments,,Tipo de prazo total do contrato referente à modalidade de crédito informada.,string,,Opcional,,"DIA, SEMANA, MES, ANO, SEM_PRAZO_TOTAL",,,,Não permitido,string,MES,
/contracts/{contractId}/scheduled-instalments/data/totalNumberOfInstalments,,"Prazo Total segundo o tipo (dia, semana, mês, ano) referente à Modalidade de Crédito informada.

[Restrição] Obrigatoriamente deve ser preenchido caso o typeNumberOfInstalments seja diferente de SEM_PRAZO_TOTAL.
",number,,Opcional,,,,,,Não permitido,number,130632,
/contracts/{contractId}/scheduled-instalments/data/typeContractRemaining,,"Tipo de prazo remanescente do contrato referente à modalidade de crédito informada.
",string,,Opcional,,"DIA, SEMANA, MES, ANO, SEM_PRAZO_REMANESCENTE",,,,Não permitido,string,,
/contracts/{contractId}/scheduled-instalments/data/contractRemainingNumber,,"Prazo Remanescente segundo o tipo (dia, semana, mês, ano) referente à Modalidade de Crédito informada.

[Restrição] Obrigatoriamente deve ser preenchido caso o typeContractRemaining seja diferente de SEM_PRAZO_REMANESCENTE.
",number,,Opcional,,,,,,Não permitido,number,14600,
/contracts/{contractId}/scheduled-instalments/data/paidInstalments,,"Quantidade de prestações pagas. (No caso de modalidades que não possuam parcelas, o número de prestações é igual a zero)",number,,Opcional,,,,,,Não permitido,number,73,
/contracts/{contractId}/scheduled-instalments/data/dueInstalments,,"Quantidade de prestações a vencer.(No caso de modalidades que não possuam parcelas, o número de prestações é igual a zero)",number,,Opcional,,,,,,Não permitido,number,57,
/contracts/{contractId}/scheduled-instalments/data/pastDueInstalments,,"Quantidade de prestações vencidas. (No caso de modalidades que não possuam parcelas, o número de prestações é igual a zero)",number,,Opcional,,,,,,Não permitido,number,73,
/contracts/{contractId}/scheduled-instalments/data/balloonPayments/dueDate,,"'Data de vencimento da parcela não regular  a vencer do contrato da modalidade de crédito consultada, conforme especificação RFC-3339. p.ex. 2014-03-19'
",string,10,Opcional,date,,,,,Não permitido,string,2021-05-21,2
/contracts/{contractId}/scheduled-instalments/data/balloonPayments/amount/amount,,Valor monetário da parcela não regular a vencer. Expresso em valor monetário com no mínimo 2 casas e no máximo 4 casas decimais.,string,20,Opcional,double,,,,,Não permitido,string,1000.0400,4
/contracts/{contractId}/scheduled-instalments/data/balloonPayments/amount/currency,,"Moeda referente ao valor monetário, seguindo o modelo ISO-4217.",string,3,Opcional,,,,,,Não permitido,string,BRL,
/contracts/{contractId}/scheduled-instalments/links/self,,URI completo que gerou a resposta atual.,string,2000,Opcional,url,,,,,Não permitido,string,https://api.banco.com.br/open-banking/api/v1/resource,
/contracts/{contractId}/scheduled-instalments/links/first,,URI da primeira página que originou essa lista de resultados. Restrição - Obrigatório quando não for a primeira página da resposta,string,2000,Opcional,url,,,,,Não permitido,string,https://api.banco.com.br/open-banking/api/v1/resource,
/contracts/{contractId}/scheduled-instalments/links/prev,,URI da página anterior dessa lista de resultados. Restrição - 	Obrigatório quando não for a primeira página da resposta,string,2000,Opcional,url,,,,,Não permitido,string,https://api.banco.com.br/open-banking/api/v1/resource,
/contracts/{contractId}/scheduled-instalments/links/next,,URI da próxima página dessa lista de resultados. Restrição - Obrigatório quando não for a última página da resposta,string,2000,Opcional,url,,,,,Não permitido,string,https://api.banco.com.br/open-banking/api/v1/resource,
/contracts/{contractId}/scheduled-instalments/links/last,,URI da última página dessa lista de resultados. Restrição - Obrigatório quando não for a última página da resposta,string,2000,Opcional,url,,,,,Não permitido,string,https://api.banco.com.br/open-banking/api/v1/resource,
/contracts/{contractId}/scheduled-instalments/meta/totalRecords,,Número total de registros no resultado,integer,,Opcional,int32,,,,,Não permitido,integer,1,
/contracts/{contractId}/scheduled-instalments/meta/totalPages,,Número total de páginas no resultado,integer,,Opcional,int32,,,,,Não permitido,integer,1,
/contracts/{contractId}/scheduled-instalments/meta/requestDateTime,,"Data e hora da consulta, conforme especificação RFC-3339, formato UTC.",string,20,Opcional,date-time,,,,,Não permitido,string,2021-05-21T08:30:00Z,
